contaminante_id,nombre_comun,nombre_cientifico,tipo_categoria,densidad_kg_m3,viscosidad_dinamica_Pa_s,solubilidad_agua_mg_L,presion_vapor_Pa,k_biodegradacion_1_s,k_volatilizacion_1_s,k_fotolisis_1_s,k_adsorcion_sedimentos_1_s,coef_particion_octanol_agua,factor_bioconcentracion,toxicidad_peces_mg_L,limite_deteccion_mg_L
PETR_001,Petróleo Crudo,Petroleum Crude Oil,Hidrocarburo,870,0.015,3.2,1200.0,0.00021,0.00015,3.2e-05,0.00028,4.5,890.0,12.5,0.01
MERC_001,Mercurio Elemental,Mercury (Hg),Metal Pesado,13534,0.00152,0.028,0.25,1.2e-06,8.5e-06,0.0,0.0052,0.45,15000.0,0.0035,0.0001
PEST_001,Glifosato,N-(phosphonomethyl)glycine,Pesticida,1705,0.001,12000.0,1.31e-05,0.00085,2.1e-07,0.00018,0.0032,-3.2,0.8,86.0,0.005
NITR_001,Nitrato,Nitrate (NO3-),Nutriente,2261,0.001,921000.0,0.0,0.0015,0.0,0.0,5.2e-05,-4.1,0.1,1350.0,0.1
PLAS_001,Microplásticos PET,Polyethylene Terephthalate,Microplástico,1380,0.001,0.0,0.0,2.1e-08,0.0,8.5e-07,0.012,2.1,125.0,5000.0,0.001
